Name,Age Group,Coat Color,Gender,Extraversion,Dominance,Impulsiveness,Agreeableness,Neuroticism,Adopted,Weighted Score,Adoption Probability
Olive,Mature Adult,Orange and White,Female,5,4,5,5,4,Yes,1.8000000000000003,61.11
Kiwi,Senior,Dilute Torbie,Female,5,4,3,5,4,Yes,2.0,66.67
Luna,Young Adult,Orange and White,Female,4,3,3,5,2,Yes,2.0,66.67
Anders,Young Adult,Chocolate Tabby,Male,5,3,5,5,3,Yes,2.0999999999999996,69.44
Ivy,Mature Adult,Silver Tabby,Female,4,4,3,4,5,No,1.2,44.44
Portia,Young Adult,Dilute Tortoiseshell,Female,4,5,2,5,3,Yes,1.6,55.56
Tiger,Senior,Orange,Male,4,4,4,3,4,No,0.8999999999999998,36.11
Evie,Young Adult,Chocolate Tabby,Female,5,3,3,5,2,Yes,2.3999999999999995,77.78
August,Kitten,Gray,Male,4,3,4,5,3,Yes,1.8,61.11
Cordelia,Young Adult,Silver Tabby,Female,4,2,5,5,3,Yes,1.9000000000000001,63.89
Wrex,Mature Adult,Gray and White,Male,5,4,4,5,5,Yes,1.7999999999999998,61.11
Tilly,Senior,Dilute Torbie,Female,5,5,6,5,3,Yes,1.5999999999999999,55.56
Parsnip,Mature Adult,Lilac Tortoiseshell,Female,5,5,5,4,5,No,1.2,44.44
Noodle,Mature Adult,Cinnamon,Male,5,4,2,5,4,Yes,2.1,69.44
Maximus,Young Adult,Gray Tabby,Male,4,5,3,5,4,Yes,1.4,50.0
Clawde,Senior,Chocolate and White,Male,5,3,3,5,4,Yes,2.1999999999999997,72.22
Clyde,Kitten,White,Male,5,4,5,5,3,Yes,1.9000000000000001,63.89
Tater,Mature Adult,Orange,Male,4,3,5,3,4,No,0.9999999999999999,38.89
Morty,Young Adult,Brown and White Tabby,Male,3,3,2,4,1,Yes,1.5,52.78
Adolin,Senior,Cream Tabby,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Jinx,Mature Adult,Cream Tabby,Male,4,5,4,4,3,No,1.0999999999999999,41.67
Zelda,Senior,Gray and White,Female,5,5,4,5,4,Yes,1.7000000000000002,58.33
Hattie,Kitten,Orange,Female,5,5,3,5,3,Yes,1.9000000000000001,63.89
Jerry,Kitten,Cream Tabby,Male,4,3,3,4,2,Yes,1.7,58.33
Clawdia,Kitten,Dilute Torbie,Female,5,3,3,6,2,Yes,2.6999999999999993,86.11
Delphi,Senior,Gray and White Tabby,Female,5,5,4,4,4,Yes,1.4,50.0
Stella,Senior,Lilac,Female,5,5,3,5,2,Yes,2.0,66.67
Gypsy,Kitten,Dilute Calico,Female,4,4,2,3,5,No,1.0,38.89
Sushi,Kitten,White,Male,4,5,3,5,3,Yes,1.5,52.78
Missy,Senior,Chocolate Tabby,Female,4,4,2,4,4,Yes,1.4,50.0
Cash,Kitten,Gray Tabby,Male,5,3,4,4,4,Yes,1.7999999999999998,61.11
Vikki,Kitten,Dilute Calico,Female,5,4,4,5,4,Yes,1.9,63.89
Xena,Senior,Fawn,Female,4,4,4,4,5,No,1.1,41.67
Zelda,Kitten,Brown and White Tabby,Female,5,5,4,5,4,Yes,1.7000000000000002,58.33
Sammy,Senior,Red,Male,5,3,3,6,2,Yes,2.6999999999999993,86.11
Celeste,Kitten,Gray and White,Female,5,4,5,5,3,Yes,1.9000000000000001,63.89
Graham,Mature Adult,Gray and White Tabby,Male,4,5,4,5,3,Yes,1.4000000000000001,50.0
Avery,Young Adult,Gray and White,Female,5,4,4,4,4,Yes,1.6,55.56
Bilbo,Kitten,Fawn,Male,5,5,5,5,3,Yes,1.7,58.33
Betsy,Mature Adult,Brown and White Tabby,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Wrex,Young Adult,Silver Tabby,Male,5,5,4,4,3,Yes,1.4999999999999998,52.78
Copurrnicus,Mature Adult,Orange and White,Male,4,3,2,5,3,Yes,1.9999999999999998,66.67
Sasha,Young Adult,Gray and White,Female,5,5,4,4,4,Yes,1.4,50.0
Clawde,Young Adult,Chocolate,Male,5,4,4,4,3,Yes,1.7,58.33
Meg,Young Adult,Gray and White,Female,4,2,3,3,4,Yes,1.4,50.0
Dolly,Mature Adult,Orange and White,Female,4,5,4,4,2,No,1.2,44.44
Calypso,Young Adult,Cream,Female,5,5,4,5,3,Yes,1.8,61.11
Navani,Young Adult,Tortoiseshell,Female,4,3,4,5,2,Yes,1.9000000000000001,63.89
Lucy,Senior,White,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Muffin,Senior,Gray Tabby,Female,5,3,4,5,3,Yes,2.2,72.22
Misty,Senior,Orange,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Izzy,Senior,Orange,Female,4,4,3,5,3,Yes,1.7,58.33
Morrigan,Senior,Torbie,Female,5,3,4,4,4,Yes,1.7999999999999998,61.11
Jasmine,Kitten,Gray,Female,4,3,4,5,4,Yes,1.7000000000000002,58.33
Sassy,Young Adult,Chocolate Tabby,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Norbert,Mature Adult,Gray,Male,4,3,2,3,4,No,1.2999999999999998,47.22
Cricket,Senior,Red Tabby,Male,5,6,5,5,4,Yes,1.4,50.0
Vesper,Kitten,Cream,Female,4,4,4,4,6,No,1.0,38.89
Tasha,Kitten,Tortoiseshell,Female,4,5,4,5,5,No,1.2000000000000002,44.44
Suki,Young Adult,Gray and White,Female,4,5,4,4,2,No,1.2,44.44
Katrina,Kitten,Orange,Female,4,5,4,5,3,Yes,1.4000000000000001,50.0
Tilly,Mature Adult,Black,Female,4,3,2,5,3,Yes,1.9999999999999998,66.67
Bianca,Young Adult,Lilac,Female,4,3,3,6,2,Yes,2.3,75.0
Peanut,Mature Adult,Fawn,Female,5,5,3,4,3,Yes,1.5999999999999999,55.56
Aurora,Young Adult,Dilute Torbie,Female,4,3,3,4,5,Yes,1.4,50.0
Fergus,Young Adult,Chocolate and White,Male,3,2,2,5,3,Yes,1.8,61.11
Pumpkin,Young Adult,Black and White,Female,4,5,3,4,4,No,1.1,41.67
Clyde,Young Adult,Orange,Male,4,3,4,4,3,Yes,1.4999999999999998,52.78
Calypso,Young Adult,Gray,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Gilly,Mature Adult,Chocolate Tabby,Female,4,6,3,4,3,No,0.9999999999999998,38.89
Dante,Senior,Black,Male,5,3,4,5,4,Yes,2.1,69.44
Evie,Young Adult,Chocolate,Female,4,3,3,4,4,Yes,1.5,52.78
Bilbo,Kitten,Brown and White Tabby,Male,4,3,3,5,4,Yes,1.8000000000000003,61.11
Duchess,Kitten,Black and White,Female,5,5,5,5,5,Yes,1.5,52.78
Sophie,Mature Adult,Red Tabby,Female,5,4,5,5,3,Yes,1.9000000000000001,63.89
Atticus,Kitten,Chocolate Tabby,Male,5,4,3,4,3,Yes,1.7999999999999996,61.11
Aloy,Senior,Lilac,Female,3,2,4,4,5,No,1.1,41.67
Fiddler,Kitten,Cinnamon,Male,5,4,4,5,4,Yes,1.9,63.89
Wanda,Mature Adult,Red Tabby,Female,5,3,4,6,2,Yes,2.5999999999999996,83.33
Sam,Mature Adult,Chocolate Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Adolin,Mature Adult,Gray,Male,4,4,3,5,4,Yes,1.6,55.56
Princess,Young Adult,Black,Female,6,5,5,5,5,Yes,1.9000000000000004,63.89
Nora,Mature Adult,Calico,Female,5,3,6,6,3,Yes,2.3,75.0
Nero,Mature Adult,White,Male,4,4,4,3,5,No,0.7999999999999998,33.33
Starlight,Young Adult,Gray Tabby,Female,5,3,4,6,3,Yes,2.5,80.56
Cordelia,Young Adult,Gray,Female,4,4,3,4,3,Yes,1.4,50.0
Pistachio,Mature Adult,Chocolate Tabby,Female,4,2,3,4,3,Yes,1.8,61.11
Nugget,Kitten,Orange and White,Male,3,4,2,5,3,Yes,1.4000000000000001,50.0
Cricket,Young Adult,Cream Tabby,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Apollo,Senior,Gray and White Tabby,Male,4,3,2,4,3,Yes,1.7,58.33
Winter,Young Adult,White,Male,4,6,4,6,3,Yes,1.4999999999999998,52.78
Merlin,Mature Adult,Chocolate and White,Male,4,5,5,2,5,No,0.20000000000000007,16.67
Atlas,Kitten,Gray,Male,4,4,5,4,4,No,1.1,41.67
Tater,Kitten,Cream,Male,4,5,3,5,3,Yes,1.5,52.78
Scout,Senior,Red,Male,5,4,4,5,4,Yes,1.9,63.89
Enzo,Senior,Cinnamon,Male,5,3,4,5,4,Yes,2.1,69.44
Anna,Mature Adult,Brown and White Tabby,Female,4,3,3,4,4,Yes,1.5,52.78
Gatsby,Kitten,Cinnamon,Male,4,3,4,5,3,Yes,1.8,61.11
Leliana,Kitten,Torbie,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Nila,Senior,Fawn,Female,5,5,4,4,4,Yes,1.4,50.0
Tali,Young Adult,Chocolate and White,Female,4,4,3,4,3,Yes,1.4,50.0
Tater,Senior,Gray Tabby,Male,4,3,3,4,4,Yes,1.5,52.78
Shadow,Mature Adult,Cream Tabby,Male,5,4,5,5,4,Yes,1.8000000000000003,61.11
Max,Young Adult,Orange,Male,4,3,4,5,3,Yes,1.8,61.11
Fergus,Senior,Chocolate,Male,4,4,4,4,4,No,1.2000000000000002,44.44
Lexi,Young Adult,Chocolate and White,Female,5,5,5,4,4,No,1.2999999999999998,47.22
Figaro,Mature Adult,Gray Tabby,Male,4,4,4,4,3,No,1.3,47.22
Dante,Senior,Orange,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Sprinkles,Young Adult,Chocolate Tabby,Male,5,5,4,4,3,Yes,1.4999999999999998,52.78
Dante,Young Adult,Chocolate,Male,4,4,4,4,3,No,1.3,47.22
Biscuit,Young Adult,Brown and White Tabby,Male,3,2,3,3,5,No,0.8999999999999999,36.11
Bitsy,Kitten,Calico,Female,4,3,3,6,3,Yes,2.2,72.22
Nacho,Mature Adult,Fawn,Male,4,3,3,5,4,Yes,1.8000000000000003,61.11
Tilly,Kitten,Gray and White Tabby,Female,4,3,2,6,2,Yes,2.3999999999999995,77.78
Smokey,Kitten,Cream,Male,4,5,4,3,5,No,0.6000000000000001,27.78
Luna,Kitten,Dilute Calico,Female,5,3,4,5,3,Yes,2.2,72.22
Zeke,Mature Adult,White,Male,4,5,4,4,3,No,1.0999999999999999,41.67
Macaroni,Mature Adult,White,Male,4,4,4,3,5,No,0.7999999999999998,33.33
Rogue,Mature Adult,Red Tabby,Female,4,3,3,4,6,No,1.2999999999999998,47.22
Pistachio,Senior,Chocolate,Female,3,3,3,4,5,No,1.0,38.89
Kiwi,Senior,Chocolate Tabby,Female,4,5,3,4,3,No,1.2,44.44
Anders,Mature Adult,Cream Tabby,Male,4,5,4,4,4,No,0.9999999999999999,38.89
Princess,Young Adult,Black,Female,4,5,4,4,3,No,1.0999999999999999,41.67
Anders,Senior,Gray,Male,5,5,5,4,4,No,1.2999999999999998,47.22
Sylvester,Kitten,Gray,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Evie,Senior,Lilac,Female,4,3,3,4,4,Yes,1.5,52.78
Clawdia,Mature Adult,Silver Tabby,Female,5,4,5,4,4,Yes,1.5,52.78
Morty,Mature Adult,Chocolate and White,Male,4,3,3,4,4,Yes,1.5,52.78
Marshmallow,Mature Adult,Gray Tabby,Male,4,3,5,5,3,Yes,1.7,58.33
Boots,Kitten,Red,Female,5,5,6,3,4,No,0.8999999999999998,36.11
Delfina,Kitten,Black and White,Female,4,6,4,4,6,No,0.5999999999999996,27.78
Pi ,Senior,Red,Female,4,4,4,6,2,Yes,1.9999999999999998,66.67
Alfred,Young Adult,Cream Tabby,Male,4,3,3,4,4,Yes,1.5,52.78
Helios,Kitten,Gray and White,Male,5,5,4,5,4,Yes,1.7000000000000002,58.33
Atlas,Senior,Cream Tabby,Male,5,2,4,5,4,Yes,2.3000000000000003,75.0
Alfred,Young Adult,Black,Male,5,5,6,4,5,No,1.0999999999999999,41.67
Cricket,Mature Adult,Chocolate and White,Male,3,6,3,3,4,No,0.19999999999999984,16.67
Cricket,Senior,White,Male,4,6,5,5,3,No,1.0999999999999999,41.67
Lilith,Kitten,Chocolate Tabby,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Maximus,Mature Adult,Brown and White Tabby,Male,4,4,5,4,4,No,1.1,41.67
Helios,Senior,White,Male,4,3,4,4,3,Yes,1.4999999999999998,52.78
Lenny,Kitten,Cinnamon,Male,4,4,4,5,5,Yes,1.4,50.0
Sadie,Mature Adult,Red,Female,5,4,2,5,6,Yes,1.9,63.89
Smokey,Kitten,Chocolate Tabby,Male,4,3,3,5,4,Yes,1.8000000000000003,61.11
George,Senior,White,Male,5,5,5,5,2,Yes,1.8,61.11
Sylphrena,Young Adult,Lilac,Female,4,5,2,5,3,Yes,1.6,55.56
Nico,Mature Adult,Brown and White Tabby,Male,4,3,4,3,5,No,1.0,38.89
Jerry,Kitten,White,Male,4,4,4,4,5,No,1.1,41.67
Wit,Senior,Cream,Male,5,4,4,5,4,Yes,1.9,63.89
Graham,Senior,Chocolate and White,Male,5,5,5,4,4,No,1.2999999999999998,47.22
Chester,Senior,Orange,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Daisy,Kitten,Red,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Daisy,Young Adult,Silver Tabby,Female,5,4,3,4,4,Yes,1.6999999999999997,58.33
Nova,Young Adult,Brown and White Tabby,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Rico,Mature Adult,Orange,Male,4,4,5,4,4,No,1.1,41.67
Kaladin,Kitten,Brown and White Tabby,Male,4,3,2,4,4,Yes,1.6,55.56
Cosmo,Young Adult,Gray,Male,5,5,5,4,4,No,1.2999999999999998,47.22
Calypso,Kitten,Calico,Female,5,5,5,3,5,No,0.8999999999999999,36.11
Cas,Kitten,Gray and White Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Clawde,Kitten,Gray and White,Male,4,4,3,4,5,No,1.2,44.44
Snickers,Senior,White,Female,4,3,3,5,2,Yes,2.0,66.67
Soju,Mature Adult,Silver Tabby,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Navani,Mature Adult,Silver Tabby,Female,5,3,2,4,2,Yes,2.1999999999999997,72.22
Darla,Senior,Black,Female,4,3,2,5,3,Yes,1.9999999999999998,66.67
Tasha,Mature Adult,Chocolate,Female,4,3,3,5,3,Yes,1.9000000000000001,63.89
Gabe,Mature Adult,Fawn,Male,5,4,4,5,3,Yes,1.9999999999999998,66.67
Stitch,Mature Adult,Red,Male,5,3,2,5,4,Yes,2.3000000000000003,75.0
Clawde,Senior,Red Tabby,Male,4,4,3,4,3,Yes,1.4,50.0
Frodo,Mature Adult,Chocolate and White,Male,5,3,5,5,2,Yes,2.1999999999999997,72.22
Waffles,Young Adult,Cream,Male,5,4,4,5,4,Yes,1.9,63.89
Nacho,Mature Adult,Black and White,Male,4,4,2,4,4,Yes,1.4,50.0
Hunter,Mature Adult,Gray and White Tabby,Male,4,3,3,3,5,No,1.0999999999999999,41.67
Navani,Mature Adult,Gray Tabby,Female,4,4,5,5,3,Yes,1.5,52.78
Orion,Mature Adult,Red,Male,5,3,2,3,5,Yes,1.5999999999999996,55.56
Nova,Mature Adult,Orange and White,Female,4,4,5,5,3,Yes,1.5,52.78
Zevran,Young Adult,Orange and White,Male,3,4,2,4,4,No,1.0,38.89
Felix,Young Adult,Brown and White Tabby,Male,4,5,4,4,4,No,0.9999999999999999,38.89
Marshmallow,Mature Adult,Chocolate,Male,5,3,3,3,4,Yes,1.5999999999999996,55.56
Penny,Kitten,Cinnamon,Female,4,3,4,4,3,Yes,1.4999999999999998,52.78
Liara,Young Adult,Chocolate Tabby,Female,4,5,3,5,3,Yes,1.5,52.78
Gypsy,Kitten,Gray,Female,4,3,3,3,4,No,1.1999999999999997,44.44
Gilly,Kitten,Fawn,Female,4,3,3,5,4,Yes,1.8000000000000003,61.11
Graham,Young Adult,Fawn,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Callie,Mature Adult,Gray,Female,4,3,2,5,3,Yes,1.9999999999999998,66.67
Sylvester,Kitten,Orange and White,Male,4,4,2,4,4,Yes,1.4,50.0
Furman,Mature Adult,Brown and White Tabby,Male,4,4,4,5,5,Yes,1.4,50.0
Boots,Young Adult,Red,Female,5,5,4,5,3,Yes,1.8,61.11
Libby,Senior,Fawn,Female,4,4,3,4,3,Yes,1.4,50.0
Jasnah,Kitten,Lilac Tortoiseshell,Female,4,5,2,4,3,No,1.3,47.22
Libby,Kitten,Cream Tabby,Female,4,4,4,4,3,No,1.3,47.22
Sylvanas,Young Adult,Red,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Lexi,Young Adult,Brown and White Tabby,Female,4,3,2,5,4,Yes,1.9,63.89
Bailey,Senior,Dilute Tortoiseshell,Female,3,4,4,4,2,No,1.0000000000000002,38.89
Vesper,Kitten,Tortoiseshell,Female,5,4,3,6,4,Yes,2.3,75.0
Clyde,Mature Adult,Chocolate,Male,4,3,3,4,4,Yes,1.5,52.78
Delfina,Mature Adult,Brown and White Tabby,Female,5,4,3,4,3,Yes,1.7999999999999996,61.11
Lilith,Senior,Cream,Female,4,2,4,3,4,No,1.3000000000000003,47.22
Charlie,Mature Adult,Fawn,Male,5,3,3,6,3,Yes,2.5999999999999996,83.33
Parsnip,Senior,Dilute Tortoiseshell,Female,4,4,4,3,4,No,0.8999999999999998,36.11
Rick,Senior,Red Tabby,Male,4,4,4,4,4,No,1.2000000000000002,44.44
George,Senior,Black,Male,4,4,4,4,5,No,1.1,41.67
Chai,Kitten,Dilute Tortoiseshell,Female,5,5,4,6,3,Yes,2.0999999999999996,69.44
Julian,Kitten,Black and White,Male,5,4,4,6,3,Yes,2.3,75.0
Spike,Young Adult,Chocolate Tabby,Male,5,4,5,4,4,Yes,1.5,52.78
Rico,Mature Adult,Orange,Male,5,4,5,5,3,Yes,1.9000000000000001,63.89
Salem,Senior,Black and White,Male,4,5,4,4,6,No,0.7999999999999998,33.33
Ivy,Kitten,Cream,Female,4,4,3,4,6,No,1.0999999999999999,41.67
Mika,Mature Adult,Chocolate and White,Male,4,3,3,5,2,Yes,2.0,66.67
Aloy,Kitten,Dilute Calico,Female,5,5,5,4,4,No,1.2999999999999998,47.22
Frodo,Senior,Red Tabby,Male,4,4,3,4,4,No,1.2999999999999998,47.22
Binx,Senior,Orange and White,Male,4,2,3,4,4,Yes,1.7000000000000002,58.33
Milo,Mature Adult,White,Male,4,2,3,4,5,Yes,1.6,55.56
Bilbo,Mature Adult,Gray and White,Male,4,5,3,4,4,No,1.1,41.67
Mischief,Senior,Gray and White Tabby,Female,4,3,5,3,5,No,0.8999999999999999,36.11
Navani,Young Adult,Chocolate Tabby,Female,4,3,5,3,5,No,0.8999999999999999,36.11
Cas,Young Adult,Red,Male,5,4,2,5,3,Yes,2.2,72.22
Enzo,Mature Adult,Gray and White Tabby,Male,5,3,2,5,4,Yes,2.3000000000000003,75.0
Maisy,Young Adult,Gray,Female,6,5,7,5,4,Yes,1.8000000000000003,61.11
Stitch,Senior,Orange and White,Male,5,5,4,4,4,Yes,1.4,50.0
Axel,Mature Adult,White,Male,5,3,4,5,3,Yes,2.2,72.22
Gatsby,Young Adult,Black and White,Male,4,5,4,5,3,Yes,1.4000000000000001,50.0
Morrigan,Kitten,Red Tabby,Female,5,6,4,5,3,Yes,1.5999999999999999,55.56
Sylphrena,Mature Adult,Gray Tabby,Female,4,3,3,5,4,Yes,1.8000000000000003,61.11
Athena,Senior,Red,Female,4,3,3,5,4,Yes,1.8000000000000003,61.11
Rogue,Mature Adult,Brown and White Tabby,Male,4,3,3,5,2,Yes,2.0,66.67
Remi,Mature Adult,Red Tabby,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Sophie,Kitten,Silver Tabby,Female,4,3,5,4,4,No,1.2999999999999998,47.22
Celeste,Senior,Orange,Female,4,5,5,5,4,No,1.2000000000000002,44.44
Freya,Senior,Gray,Female,5,4,4,4,5,Yes,1.5,52.78
Chai,Senior,Chocolate,Female,4,3,3,4,5,Yes,1.4,50.0
Kimchi,Mature Adult,Black,Male,5,4,5,4,3,Yes,1.5999999999999999,55.56
Flemeth,Mature Adult,White,Female,4,3,3,4,5,Yes,1.4,50.0
Remi,Kitten,Black,Male,4,4,4,6,2,Yes,1.9999999999999998,66.67
Bailey,Senior,Gray and White Tabby,Female,4,4,3,6,3,Yes,1.9999999999999998,66.67
Donut,Mature Adult,Gray,Male,5,4,2,6,2,Yes,2.5999999999999996,83.33
Chai,Kitten,Silver Tabby,Female,5,4,3,4,4,Yes,1.6999999999999997,58.33
Buttercup,Senior,Silver Tabby,Female,5,5,4,5,3,Yes,1.8,61.11
Callie,Senior,Black and White,Female,5,4,4,4,5,Yes,1.5,52.78
Stella,Kitten,Calico,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Trouble,Kitten,Brown and White Tabby,Male,3,6,5,4,4,No,0.29999999999999993,19.44
Evie,Mature Adult,Cinnamon,Female,4,3,3,4,3,Yes,1.5999999999999999,55.56
Reptar,Young Adult,White,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Binx,Young Adult,Cream Tabby,Male,5,3,2,6,4,Yes,2.6,83.33
Bagel,Mature Adult,White,Male,4,5,5,4,3,No,1.0,38.89
Alfred,Senior,Chocolate Tabby,Male,4,4,5,5,3,Yes,1.5,52.78
Sylvanas,Mature Adult,Black,Female,4,3,3,4,4,Yes,1.5,52.78
Sylvester,Senior,Brown and White Tabby,Male,4,3,4,5,4,Yes,1.7000000000000002,58.33
Shadow,Senior,White,Male,4,5,5,5,4,No,1.2000000000000002,44.44
Kaladin,Young Adult,Cream,Male,4,5,2,3,3,No,1.0,38.89
Taffy,Mature Adult,Silver Tabby,Female,5,5,5,5,3,Yes,1.7,58.33
Sasha,Young Adult,Torbie,Female,4,5,4,5,4,No,1.3000000000000003,47.22
Bailey,Mature Adult,Gray and White,Female,4,5,3,4,4,No,1.1,41.67
Cordelia,Senior,Fawn,Female,4,3,2,3,3,Yes,1.4,50.0
Kona,Mature Adult,Gray and White,Male,4,3,3,5,2,Yes,2.0,66.67
Jinx,Senior,Black,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Athena,Mature Adult,Orange and White,Female,5,3,5,6,2,Yes,2.4999999999999996,80.56
Dante,Mature Adult,Silver Tabby,Male,5,5,3,5,5,Yes,1.7000000000000002,58.33
Neptune,Young Adult,Cream,Male,5,4,4,5,4,Yes,1.9,63.89
Sushi,Senior,Brown and White Tabby,Male,4,4,3,6,3,Yes,1.9999999999999998,66.67
Olive,Kitten,Calico,Female,5,2,3,3,5,Yes,1.7000000000000002,58.33
Dolly,Mature Adult,Silver Tabby,Female,4,4,4,3,5,No,0.7999999999999998,33.33
Romeo,Kitten,Orange and White,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Eden,Mature Adult,Cream,Female,4,3,4,4,3,Yes,1.4999999999999998,52.78
Agatha,Kitten,Brown and White Tabby,Female,4,5,4,4,3,No,1.0999999999999999,41.67
Stella,Senior,Calico,Female,4,3,2,4,4,Yes,1.6,55.56
Daisy,Kitten,Brown and White Tabby,Female,5,5,3,5,3,Yes,1.9000000000000001,63.89
Jinx,Kitten,Dilute Calico,Female,5,5,4,4,5,No,1.2999999999999998,47.22
Binx,Mature Adult,Gray and White Tabby,Male,4,3,3,5,2,Yes,2.0,66.67
Lucy,Senior,Fawn,Female,4,4,5,4,4,No,1.1,41.67
Maximus,Senior,Black and White,Male,4,5,4,5,3,Yes,1.4000000000000001,50.0
Peanut,Senior,Black,Male,4,3,3,5,5,Yes,1.7000000000000002,58.33
Freya,Young Adult,Chocolate Tabby,Female,5,3,3,4,5,Yes,1.7999999999999998,61.11
