Name,Age Group,Coat Color,Gender,Extraversion,Dominance,Impulsiveness,Agreeableness,Neuroticism,Adopted Prediction
Neo,Young Adult,Gray and White Tabby,Male,5,4,3,4,3,
Jasmine,Mature Adult,Chocolate,Female,4,2,6,5,5,
Nova,Mature Adult,Chocolate Tabby,Female,2,3,8,8,2,
Rosie,Young Adult,Lilac Tortoiseshell,Female,3,5,8,6,2,
Murphy,Senior,Orange,Male,4,1,2,3,1,
Bitsy,Kitten,Gray and White Tabby,Female,2,3,6,3,4,
Cricket,Kitten,Black,Male,1,2,1,1,4,
Freya,Young Adult,Red Tabby,Female,4,1,3,3,6,
Gilly,Kitten,Fawn,Female,7,1,3,6,1,
Loki,Mature Adult,Gray and White Tabby,Male,6,5,6,7,4,
Kimchi,Kitten,Red Tabby,Male,3,1,4,5,4,
Buttercup,Mature Adult,Orange,Female,3,5,4,4,5,
Scout,Young Adult,Chocolate Tabby,Male,3,4,5,7,1,
Leliana,Senior,Cream Tabby,Female,4,1,1,7,4,
Snickers,Senior,Orange and White,Female,3,1,3,8,4,
Donut,Young Adult,Gray and White Tabby,Male,1,1,6,6,2,
Millie,Young Adult,Lilac Tortoiseshell,Female,6,3,2,8,4,
Cullen,Senior,Chocolate Tabby,Male,6,4,1,4,1,
Smokey,Senior,Cream,Male,5,2,2,7,4,
Lexi,Kitten,White,Female,4,1,5,6,2,
Rosie,Senior,Fawn,Female,5,3,3,5,5,
Sasha,Senior,Cream Tabby,Female,7,4,7,5,4,
Rasha,Kitten,Red Tabby,Female,7,1,2,7,5,
Beau,Young Adult,Chocolate,Male,3,1,5,6,7,
Agnes,Senior,Cream,Female,8,4,6,5,5,
Kodi,Mature Adult,Gray and White Tabby,Male,5,3,6,7,5,
Nero,Senior,Cream Tabby,Male,5,2,6,4,3,
Athena,Mature Adult,Gray Tabby,Female,4,3,6,6,2,
Cooper,Kitten,Gray Tabby,Male,4,1,5,7,5,
Bella,Senior,Dilute Tortoiseshell,Female,3,7,2,9,3,
Calypso,Mature Adult,Cinnamon,Female,2,1,5,7,5,
Daisy,Senior,Dilute Calico,Female,5,2,4,8,1,
Stitch,Kitten,Chocolate,Male,2,2,5,5,4,
Sassy,Kitten,Cream Tabby,Female,6,1,5,5,2,
Beau,Mature Adult,Gray,Male,6,1,5,5,5,
August,Mature Adult,Chocolate and White,Male,7,1,4,4,3,
Portia,Mature Adult,Chocolate and White,Female,3,3,6,4,1,
Cosmo,Senior,Brown and White Tabby,Male,4,1,2,4,4,
Wit,Young Adult,Cream,Male,4,3,2,5,2,
Olive,Mature Adult,Chocolate,Female,1,2,5,3,3,
Tasha,Senior,White,Female,3,1,4,9,5,
Nacho,Mature Adult,Orange,Male,5,2,8,7,1,
Zelda,Senior,Chocolate Tabby,Female,7,6,4,6,5,
Cas,Mature Adult,Chocolate,Male,5,1,6,5,5,
Oreo,Kitten,Orange,Male,3,2,3,5,2,
Zelda,Kitten,Tortoiseshell,Female,5,3,3,2,5,
Julian,Young Adult,Fawn,Male,3,5,5,6,6,
Neil,Senior,Gray and White,Male,4,7,1,6,4,
Latte,Kitten,Gray and White Tabby,Male,6,1,4,7,5,
Adolin,Kitten,Cinnamon,Male,6,1,1,5,2,
Eowyn,Senior,Tortoiseshell,Female,7,3,1,8,1,
Boots,Young Adult,Cinnamon,Male,3,3,5,5,5,
Delphi,Mature Adult,Brown and White Tabby,Female,5,3,2,6,2,
Taffy,Kitten,Gray and White,Female,1,1,3,7,3,
Patch,Young Adult,Black,Male,1,2,6,3,2,
Bailey,Senior,Gray Tabby,Female,10,3,6,6,3,
Olive,Young Adult,Fawn,Female,7,3,1,6,6,
Lilith,Young Adult,Dilute Calico,Female,4,4,5,7,2,
Murphy,Kitten,Fawn,Female,3,1,4,9,5,
Bagel,Mature Adult,Gray and White,Male,5,2,6,6,3,
Vikki,Young Adult,Cream Tabby,Female,6,2,4,6,4,
Nacho,Young Adult,Chocolate and White,Male,6,2,4,2,5,
Winnie,Kitten,Gray and White Tabby,Female,9,2,5,5,1,
Kitty,Mature Adult,Black,Female,7,4,6,9,1,
Eowyn,Senior,Dilute Tortoiseshell,Female,2,4,3,8,1,
Julian,Young Adult,Black,Male,4,5,7,3,6,
Gatsby,Young Adult,Orange and White,Male,4,1,6,5,4,
Jasmine,Mature Adult,Calico,Female,4,1,5,4,5,
Freya,Senior,Calico,Female,5,2,3,5,5,
Figaro,Kitten,White,Male,3,3,5,6,5,
Vesper,Kitten,Tortoiseshell,Female,2,1,6,5,4,
Scout,Young Adult,Orange and White,Male,4,2,2,6,5,
Pumpkin,Young Adult,White,Female,6,2,6,3,2,
Rocky,Mature Adult,Black,Male,5,1,4,3,4,
Mika,Kitten,Chocolate and White,Male,7,3,8,9,2,
Norbert,Young Adult,Chocolate and White,Male,6,1,6,3,1,
Frodo,Senior,Chocolate and White,Male,3,4,6,5,5,
Oliver,Mature Adult,Gray and White,Male,7,1,4,6,3,
Simba,Kitten,Black and White,Male,5,1,6,3,2,
Gabe,Senior,Silver Tabby,Male,3,3,6,8,5,
Norbert,Young Adult,Black,Male,5,2,5,6,4,
Latte,Senior,Fawn,Male,3,1,6,7,4,
Macaroni,Young Adult,Red Tabby,Male,7,1,6,3,1,
Gypsy,Senior,Dilute Torbie,Female,3,2,6,4,4,
Furman,Kitten,Cream,Male,2,4,4,7,3,
Gizmo,Senior,Black and White,Female,5,1,4,6,2,
Frodo,Senior,Black and White,Male,4,2,6,7,7,
Jasmine,Mature Adult,Dilute Tortoiseshell,Female,2,4,1,5,1,
Merlin,Senior,Gray,Male,6,4,2,7,6,
Dorian,Kitten,Cream,Male,4,5,2,7,1,
Portia,Young Adult,Black and White,Female,2,4,3,6,3,
Romeo,Young Adult,Orange and White,Male,3,5,6,7,6,
Chloe,Kitten,Silver Tabby,Female,4,5,6,4,5,
Romeo,Young Adult,Gray Tabby,Male,5,1,3,6,3,
Sushi,Young Adult,White,Male,6,1,4,4,6,
Oliver,Kitten,Gray,Male,1,3,5,5,3,
Matcha,Senior,Brown and White Tabby,Female,7,1,3,4,5,
Cielo,Young Adult,Chocolate,Male,3,4,5,7,6,
Sylvester,Senior,Fawn,Male,7,3,6,4,3,
Bella,Senior,Brown and White Tabby,Female,4,1,1,2,3,
Nova,Senior,Fawn,Female,3,4,4,7,5,
Apollo,Mature Adult,Gray,Male,6,2,4,8,4,
Kitty,Young Adult,Orange,Female,7,1,3,3,5,
Murphy,Kitten,Brown and White Tabby,Male,5,1,7,3,5,
Sammy,Young Adult,Brown and White Tabby,Male,2,3,4,2,4,
Sophie,Young Adult,Orange,Female,3,5,3,5,4,
Nibbler,Mature Adult,Brown and White Tabby,Male,6,1,5,9,4,
Vesper,Kitten,Torbie,Female,6,2,4,7,1,
Chester,Mature Adult,Silver Tabby,Male,5,2,7,8,4,
Katrina,Senior,Dilute Torbie,Female,6,1,3,9,7,
Nugget,Senior,Gray Tabby,Male,1,1,6,5,1,
Muffin,Young Adult,Gray and White,Female,3,2,1,5,1,
Cullen,Kitten,Silver Tabby,Male,6,1,3,6,2,
Snickers,Kitten,Red,Male,8,2,2,5,5,
Linguine,Mature Adult,Fawn,Male,3,1,6,4,2,
Winter,Young Adult,Chocolate and White,Female,6,6,7,7,2,
Adolin,Senior,Red,Male,7,1,9,4,4,
Wilson,Kitten,Chocolate Tabby,Male,5,1,4,7,6,
Winnie,Young Adult,Orange,Female,4,4,5,6,1,
Donut,Senior,Red,Male,2,3,6,5,4,
Evie,Young Adult,Cream,Female,7,6,4,7,8,
Latte,Young Adult,Brown and White Tabby,Male,1,1,3,7,2,
Kiwi,Kitten,Red Tabby,Female,8,4,7,9,4,
Clyde,Kitten,Cinnamon,Male,5,4,7,7,4,
Nikki,Kitten,Cream,Female,4,1,3,7,1,
Cooper,Senior,Red,Male,7,1,2,2,4,
Winnie,Senior,Lilac,Female,6,4,5,8,5,
Pi ,Senior,Chocolate and White,Female,6,5,4,6,4,
Ruby,Mature Adult,Red,Female,8,5,4,6,1,
Matty,Senior,Red Tabby,Male,5,1,4,7,3,
Libby,Senior,Black,Female,7,6,4,8,5,
Pumpkin,Senior,Torbie,Female,6,3,4,5,2,
Cordelia,Mature Adult,Cream Tabby,Female,7,4,3,6,2,
Sylvester,Senior,Red,Male,4,3,5,4,3,
Hendrix,Kitten,Chocolate,Male,1,5,5,5,4,
Winter,Mature Adult,Black,Male,4,5,4,3,5,
Austin,Kitten,Chocolate,Male,9,3,7,5,6,
Zelda,Kitten,Chocolate,Female,4,2,1,6,4,
Delphi,Kitten,Dilute Tortoiseshell,Female,8,3,5,8,1,
Trouble,Senior,White,Male,3,2,5,3,6,
Biscuit,Mature Adult,Gray Tabby,Male,5,2,7,5,7,
Lilith,Kitten,Lilac Tortoiseshell,Female,4,1,3,9,3,
Axel,Mature Adult,Cinnamon,Male,2,1,6,5,7,
Arthas,Senior,Chocolate Tabby,Male,4,3,5,6,5,
Alina,Young Adult,Gray,Female,4,2,4,5,5,
Spike,Senior,Black,Male,6,2,6,6,4,
Penelope,Young Adult,Red,Female,4,1,5,6,3,
Julian,Young Adult,Gray and White Tabby,Male,2,2,4,7,4,
Boots,Kitten,Cinnamon,Female,4,4,6,7,5,
Sadie,Kitten,Chocolate and White,Female,8,3,1,4,2,
Jerry,Young Adult,Chocolate,Male,4,3,1,6,3,
Kiwi,Senior,Chocolate and White,Female,4,6,6,4,2,
Luna,Young Adult,Chocolate and White,Female,1,6,5,1,4,
Daisy,Kitten,Dilute Torbie,Female,6,3,5,5,4,
Rogue,Kitten,Cream Tabby,Female,6,1,9,6,2,
Lucy,Young Adult,Orange,Female,4,5,5,3,4,
Sylvester,Mature Adult,Orange and White,Male,4,1,5,7,3,
Kimchi,Senior,Gray and White Tabby,Male,6,3,6,8,1,
Loki,Mature Adult,Red,Male,3,3,4,7,5,
Hendrix,Mature Adult,Gray and White,Male,7,1,4,3,3,
Avi,Mature Adult,Chocolate Tabby,Male,4,6,7,3,3,
Sprinkles,Senior,Gray,Male,6,1,6,4,4,
Rosie,Kitten,Gray and White Tabby,Female,5,3,3,6,1,
Muffin,Senior,Gray,Female,5,6,2,8,5,
Mittens,Young Adult,Black,Male,8,6,3,6,4,
Wit,Senior,Chocolate Tabby,Male,4,3,9,8,9,
Lucifer,Senior,Orange and White,Male,6,1,6,6,5,
Finn,Young Adult,Brown and White Tabby,Male,6,1,6,6,3,
Catsanova,Young Adult,Gray,Male,6,2,4,5,5,
Zelda,Senior,Cream,Female,3,1,6,10,3,
Celeste,Senior,Lilac Tortoiseshell,Female,4,3,3,5,3,
Betsy,Young Adult,Gray and White,Female,7,4,8,5,3,
Waffles,Kitten,Gray and White Tabby,Male,5,1,5,7,3,
Lucifer,Kitten,Chocolate,Male,1,3,7,6,5,
Sadie,Mature Adult,Calico,Female,9,2,3,3,5,
Jinx,Kitten,Black and White,Female,4,3,6,4,3,
Kitty,Mature Adult,Lilac Tortoiseshell,Female,4,6,3,5,6,
Pistachio,Young Adult,Red,Female,4,6,5,3,2,
Romeo,Young Adult,Black,Male,5,6,3,8,1,
Mittens,Young Adult,Chocolate Tabby,Male,3,1,2,4,2,
Oliver,Kitten,Brown and White Tabby,Male,3,7,6,3,1,
Nemo,Kitten,Black and White,Male,5,1,7,6,3,
Cleocatra,Kitten,Gray and White Tabby,Female,5,1,9,2,6,
Dean,Kitten,Lilac,Male,3,5,7,2,6,
Xena,Mature Adult,Fawn,Female,4,4,4,5,1,
Spike,Mature Adult,Chocolate and White,Male,8,1,7,4,5,
Gabe,Senior,Gray,Male,4,1,4,1,6,
Winnie,Senior,Brown and White Tabby,Female,4,1,9,9,3,
Loki,Young Adult,Lilac,Male,3,2,1,4,2,
Maisy,Mature Adult,Cream Tabby,Female,5,1,6,7,2,
Jasper,Kitten,Orange and White,Male,1,1,5,10,3,
Murphy,Mature Adult,Gray Tabby,Female,6,2,4,8,5,
Felix,Kitten,Lilac,Male,2,1,5,4,5,
Minerva,Mature Adult,Black,Female,6,6,3,4,3,
Trouble,Kitten,Gray and White,Male,5,6,3,4,5,
Mischief,Kitten,Calico,Female,7,5,5,8,3,
Smudge,Young Adult,Orange,Male,3,3,5,4,6,
Jinxy,Mature Adult,Orange,Female,5,1,3,7,5,
Snickers,Mature Adult,Chocolate Tabby,Male,4,3,2,5,5,
Acorn,Young Adult,Chocolate Tabby,Male,8,1,3,4,2,
Vikki,Mature Adult,Cream,Female,3,1,5,7,5,
Biscuit,Mature Adult,Chocolate and White,Male,7,2,8,6,3,
Boots,Mature Adult,Chocolate and White,Male,8,2,6,7,3,
Graham,Senior,Silver Tabby,Male,2,4,4,5,2,
Ziggy,Young Adult,Lilac,Male,5,3,6,6,5,
Eowyn,Senior,Gray and White Tabby,Female,2,2,1,9,5,
August,Senior,Cream,Male,6,2,9,4,3,
Bitsy,Senior,Gray and White,Female,6,3,3,5,6,
Beau,Young Adult,Lilac,Male,4,6,6,7,4,
Shallan,Kitten,Dilute Tortoiseshell,Female,3,3,4,7,6,
Boots,Kitten,Cream,Male,5,4,7,8,3,
Bailey,Young Adult,Dilute Calico,Female,3,1,4,5,1,
Dalinar,Young Adult,Lilac,Male,4,1,2,7,4,
Felicity,Mature Adult,Fawn,Female,5,1,3,4,6,
Mischief,Mature Adult,Gray Tabby,Female,4,5,5,5,4,
Frodo,Kitten,Chocolate and White,Male,8,3,6,6,8,
Tulip,Mature Adult,Gray Tabby,Female,4,6,5,5,3,
Delfina,Young Adult,Red,Female,4,6,5,8,1,
Nemo,Young Adult,Orange and White,Male,2,4,3,2,3,
Peanut,Mature Adult,Cream Tabby,Female,5,1,5,1,1,
Tulip,Young Adult,Brown and White Tabby,Female,6,3,1,6,2,
Sammy,Mature Adult,Cream Tabby,Male,3,1,8,5,5,
Aloy,Kitten,Cream,Female,6,1,4,10,5,
Beau,Mature Adult,Chocolate Tabby,Male,4,5,5,5,4,
Marshmallow,Young Adult,Chocolate and White,Female,4,2,2,4,1,
Jasnah,Mature Adult,Dilute Calico,Female,9,1,3,5,2,
Piper,Young Adult,Calico,Female,5,6,2,6,6,
Tawny,Senior,Red Tabby,Female,5,5,4,4,4,
Axel,Kitten,Gray,Male,3,1,2,3,1,
Beau,Kitten,Cream Tabby,Male,4,5,3,5,1,
Hunter,Young Adult,Chocolate Tabby,Male,4,1,1,9,2,
Kitty,Mature Adult,Red Tabby,Female,3,1,4,7,7,
Peanut,Mature Adult,Dilute Calico,Female,3,2,3,8,1,
Neo,Kitten,Black,Male,3,1,5,1,4,
Lily,Kitten,Black and White,Female,8,1,2,8,6,
Edie,Young Adult,Silver Tabby,Female,3,2,5,5,5,
Arthas,Mature Adult,Cream Tabby,Male,3,1,2,7,5,
Vesper,Mature Adult,Fawn,Female,2,1,1,7,3,
Lilo,Mature Adult,Chocolate Tabby,Female,6,2,1,5,2,
Katrina,Senior,Lilac,Female,6,1,7,9,2,
Nacho,Mature Adult,Orange and White,Male,3,1,5,10,5,
Felix,Senior,Red Tabby,Male,3,1,1,3,3,
Marshmallow,Senior,Chocolate Tabby,Male,7,1,6,6,1,
Nola,Young Adult,Black,Female,4,1,4,6,4,
Tilly,Young Adult,Dilute Torbie,Female,3,1,5,7,4,
Evie,Kitten,Orange and White,Female,1,2,5,7,2,
Clyde,Senior,Cinnamon,Male,6,4,3,6,3,
Alistair,Senior,Cream Tabby,Male,3,2,4,3,4,
Peaches,Kitten,Black and White,Female,3,2,2,6,4,
Cleocatra,Mature Adult,Calico,Female,6,5,4,6,4,
Acorn,Young Adult,Chocolate and White,Male,1,2,6,5,2,
Penelope,Mature Adult,Cinnamon,Female,5,5,6,5,2,
Molly,Mature Adult,Cream,Female,7,1,5,5,1,
Nero,Senior,Red Tabby,Male,5,1,3,4,5,
Galadriel,Kitten,Dilute Calico,Female,3,4,4,3,5,
Delphi,Senior,Cinnamon,Female,1,2,3,3,2,
Peaches,Kitten,Orange,Female,6,4,3,6,5,
Muffin,Kitten,Red,Female,6,1,8,7,6,
Rick,Mature Adult,Red Tabby,Male,6,5,6,8,1,
Boots,Mature Adult,Chocolate Tabby,Male,3,2,2,5,5,
Aurora,Mature Adult,Dilute Torbie,Female,5,1,2,7,2,
Petunia,Senior,Gray Tabby,Female,6,1,3,4,1,
Penelope,Young Adult,Dilute Tortoiseshell,Female,4,2,6,3,4,
Biscuit,Kitten,Chocolate and White,Male,5,4,4,6,4,
Macaroni,Young Adult,Cream,Male,3,3,5,5,3,
Marshmallow,Kitten,White,Female,6,1,5,6,2,
Lucifer,Kitten,Gray Tabby,Male,6,4,7,3,7,
Tiger,Kitten,Gray and White,Male,3,4,1,5,2,
Garrus,Senior,Silver Tabby,Male,8,5,5,6,7,
Flemeth,Mature Adult,Lilac,Female,2,3,6,3,2,
Lily,Mature Adult,Dilute Tortoiseshell,Female,6,4,4,8,1,
Basil,Young Adult,Gray Tabby,Male,4,1,6,5,6,
Kaladin,Mature Adult,Lilac,Male,1,3,5,4,4,
Ozzy,Kitten,Red,Male,5,3,5,7,2,
Bella,Mature Adult,Gray and White,Female,3,2,7,9,4,
Finn,Kitten,Brown and White Tabby,Male,4,2,4,8,3,
Darla,Senior,Tortoiseshell,Female,4,4,9,6,9,
Poppy,Young Adult,Chocolate,Female,4,2,1,7,7,
Avery,Senior,Orange,Female,8,1,4,7,1,
Fergus,Young Adult,Lilac,Male,5,6,5,4,4,
Graham,Kitten,Black,Male,4,3,7,5,4,
Fritz,Kitten,Orange and White,Male,2,1,4,5,4,
Ziggy,Young Adult,Cream,Male,4,1,6,5,4,
Julian,Mature Adult,Red Tabby,Male,6,2,1,6,1,
Shallan,Senior,Gray and White Tabby,Female,5,5,1,6,1,
Nala,Mature Adult,Calico,Female,2,5,4,2,2,
Princess,Kitten,Black,Female,4,1,6,6,5,
Tulip,Mature Adult,Chocolate Tabby,Female,6,1,6,6,1,
Romeo,Mature Adult,Black,Male,7,1,3,6,5,
Bitsy,Kitten,Brown and White Tabby,Female,2,3,3,8,3,
Jinx,Senior,Gray Tabby,Male,2,4,8,7,2,
Lucky,Young Adult,Gray and White Tabby,Male,3,1,5,4,3,
Bailey,Kitten,Cinnamon,Female,3,1,10,10,3,
Dante,Mature Adult,Cream Tabby,Male,1,3,5,9,8,
Natasha,Young Adult,Silver Tabby,Female,4,2,4,7,3,
Cosmo,Kitten,Red Tabby,Male,7,2,7,4,1,
Penny,Mature Adult,Dilute Torbie,Female,6,3,10,4,4,
Nola,Kitten,White,Female,5,2,2,4,2,
Catsanova,Senior,Cream Tabby,Male,6,3,3,3,1,
Graham,Senior,Red Tabby,Male,6,4,6,7,6,
Darla,Young Adult,Lilac,Female,6,7,3,5,2,
Frodo,Mature Adult,Lilac,Male,4,6,6,6,4,
Vesper,Senior,Cream,Female,2,3,6,4,4,
Tater,Kitten,Gray Tabby,Male,4,1,3,10,3,
Macaroni,Senior,Orange,Male,4,2,5,4,2,
Merlin,Young Adult,Fawn,Male,1,3,4,6,4,
Missy,Senior,Orange,Female,9,4,9,7,5,
Gimli,Kitten,Brown and White Tabby,Male,1,3,6,3,2,
Athena,Young Adult,Dilute Calico,Female,5,1,6,6,6,
Delfina,Senior,Orange and White,Female,1,1,6,4,1,
Nila,Kitten,Calico,Female,2,1,7,5,5,
Jasnah,Kitten,Gray Tabby,Female,5,1,7,5,6,
Aloy,Mature Adult,Torbie,Female,7,1,4,6,2,
Sprinkles,Mature Adult,Gray Tabby,Female,5,2,4,6,3,
Alistair,Kitten,Chocolate Tabby,Male,4,8,4,8,1,
Gypsy,Senior,Gray Tabby,Female,6,4,6,2,4,
Rasha,Senior,Black,Female,1,5,5,7,3,
Sassy,Mature Adult,Gray Tabby,Female,4,5,1,6,3,
Latte,Mature Adult,Fawn,Male,3,2,5,6,3,
Libby,Young Adult,Black,Female,4,1,8,6,3,
Max,Senior,Chocolate Tabby,Male,2,1,3,7,3,
Arwen,Young Adult,Cinnamon,Female,6,3,4,6,2,
Dolly,Mature Adult,Silver Tabby,Female,6,4,5,8,3,
Sierra,Young Adult,Black and White,Female,5,2,6,7,4,
Penny,Senior,Dilute Calico,Female,7,1,6,8,1,
Nora,Senior,Brown and White Tabby,Female,1,4,1,7,5,
Calypso,Young Adult,Brown and White Tabby,Female,7,2,5,4,7,
Flemeth,Mature Adult,Gray and White,Female,5,4,9,4,2,
Rogue,Mature Adult,Calico,Female,2,3,5,4,5,
Jasnah,Mature Adult,Red Tabby,Female,7,2,4,6,4,
Oreo,Mature Adult,Silver Tabby,Female,5,5,7,10,3,
Zoe,Senior,Red,Female,5,1,4,10,2,
Starlight,Senior,Dilute Calico,Female,5,3,1,9,5,
Adolin,Young Adult,Cinnamon,Male,4,5,6,5,4,
Peanut,Senior,Gray Tabby,Female,6,3,3,7,4,
Pistachio,Young Adult,Red Tabby,Female,7,3,3,6,5,
Maisy,Mature Adult,Orange and White,Female,7,2,7,6,3,
Avi,Kitten,Gray and White,Male,3,2,3,3,5,
Nikki,Mature Adult,Lilac,Female,7,1,8,7,1,
Sheba,Mature Adult,Dilute Torbie,Female,6,3,5,7,1,
Shadow,Mature Adult,Fawn,Male,5,1,4,2,3,
Clawde,Mature Adult,Gray,Male,7,2,6,3,2,
Leliana,Mature Adult,White,Female,5,3,5,5,4,
Figaro,Kitten,Fawn,Male,9,3,10,8,4,
Cooper,Kitten,Black and White,Male,6,1,7,2,5,
Matcha,Mature Adult,Orange and White,Female,3,3,1,8,2,
Frodo,Kitten,Cream,Male,6,4,3,7,6,
Athena,Young Adult,Brown and White Tabby,Female,5,4,2,7,7,
Simba,Mature Adult,Cream,Male,4,5,4,2,4,
Luna,Kitten,Lilac Tortoiseshell,Female,1,1,2,6,4,
Bast,Mature Adult,Gray and White,Female,5,2,4,5,6,
Rogue,Mature Adult,Chocolate Tabby,Male,6,2,3,7,1,
Luna,Kitten,Calico,Female,3,1,5,5,1,
Millie,Senior,Silver Tabby,Female,3,1,6,6,5,
Bianca,Young Adult,Gray Tabby,Female,4,4,2,9,6,
Morrigan,Senior,Black,Female,4,3,3,8,3,
Cricket,Senior,Gray Tabby,Male,4,2,6,8,5,
Kitty,Young Adult,Chocolate and White,Female,7,3,4,3,3,
Garrus,Kitten,Brown and White Tabby,Male,6,1,5,4,4,
Nibbler,Mature Adult,Brown and White Tabby,Male,5,4,5,9,6,
Oreo,Kitten,Silver Tabby,Male,4,1,5,4,6,
Milo,Senior,Cream Tabby,Male,2,2,1,5,1,
Ash,Mature Adult,Brown and White Tabby,Male,5,6,3,2,3,
Chestnut,Young Adult,Cinnamon,Male,5,5,3,9,3,
Tater,Mature Adult,Chocolate,Male,4,4,5,7,3,
Bianca,Mature Adult,Gray and White Tabby,Female,5,1,2,6,5,
Milo,Senior,Red,Male,3,3,3,4,5,
Jerry,Young Adult,Chocolate and White,Male,3,5,5,3,2,
Chester,Mature Adult,Orange and White,Male,7,3,3,5,2,
Kaladin,Mature Adult,Cinnamon,Male,3,1,4,5,4,
Dora,Kitten,Silver Tabby,Female,7,1,5,3,8,
Anders,Senior,Orange and White,Male,6,3,4,7,4,
Spike,Kitten,Lilac,Male,8,1,4,8,4,
Norbert,Kitten,Black,Male,2,3,8,8,4,
Freya,Senior,Calico,Female,6,2,7,10,1,
Katrina,Young Adult,Tortoiseshell,Female,6,2,7,8,6,
Nola,Mature Adult,Orange and White,Female,2,5,3,6,4,
Sierra,Senior,Red,Female,7,5,2,9,3,
Frodo,Senior,Fawn,Male,4,1,2,3,4,
Rogue,Young Adult,Lilac Tortoiseshell,Female,3,1,5,7,1,
Buttercup,Young Adult,Cream,Female,6,4,4,5,6,
Ziggy,Young Adult,Chocolate and White,Male,5,3,8,5,1,
Alistair,Mature Adult,Gray Tabby,Male,1,6,1,4,2,
Zevran,Senior,Black,Male,4,1,7,6,5,
Bilbo,Senior,Lilac,Male,4,5,5,5,2,
Leo,Young Adult,Gray and White,Male,4,1,2,5,4,
Mittens,Kitten,Chocolate and White,Male,6,2,2,5,3,
Soju,Mature Adult,Chocolate,Male,4,4,6,9,2,
Vesper,Senior,Orange and White,Male,4,1,3,7,1,
Shadow,Senior,Gray and White,Male,7,2,4,7,1,
Muffin,Young Adult,Lilac Tortoiseshell,Female,5,2,7,7,7,
Wit,Young Adult,Cream,Male,7,1,2,6,5,
Smudge,Senior,Fawn,Male,6,2,1,6,5,
Chai,Young Adult,Cinnamon,Female,5,2,5,6,5,
Pistachio,Young Adult,Torbie,Female,1,2,4,7,6,
Bitsy,Senior,Gray Tabby,Female,6,5,5,4,3,
Oreo,Kitten,Tortoiseshell,Female,6,1,5,4,3,
Hattie,Young Adult,Gray Tabby,Female,3,6,5,6,4,
Chester,Senior,Silver Tabby,Male,5,5,3,6,2,
Oliver,Mature Adult,White,Male,5,2,6,5,2,
Edie,Kitten,White,Female,5,4,6,4,4,
Lenny,Senior,Brown and White Tabby,Male,5,1,7,5,2,
Chester,Mature Adult,Fawn,Male,6,3,4,7,4,
Tulip,Senior,Dilute Torbie,Female,6,1,7,5,4,
Peanut,Senior,Lilac,Male,3,3,7,6,1,
Kaladin,Senior,Orange and White,Male,4,5,7,5,3,
Jasnah,Young Adult,Dilute Tortoiseshell,Female,3,6,1,6,2,
Snickers,Kitten,Gray and White Tabby,Female,5,1,2,9,8,
Matty,Mature Adult,Gray and White Tabby,Male,7,3,8,3,5,
Natasha,Young Adult,Chocolate,Female,4,4,7,5,5,
Dolly,Kitten,Gray,Female,9,3,7,7,1,
Tawny,Kitten,Gray and White Tabby,Female,9,4,5,3,4,
Leo,Kitten,Black,Male,3,6,2,7,4,
Norbert,Kitten,Cream Tabby,Male,6,1,3,4,3,
Noodle,Senior,White,Male,2,6,5,5,2,
Muffin,Kitten,Torbie,Female,3,2,5,9,3,
